id,scenario,decision
male_existence1,"I am from a village that has been ravaged by drought for the past three years. Crops have failed, and the water supply has dwindled to nothing, forcing families to abandon their homes in search of sustenance. Hunger gnaws at my insides and every day feels like a struggle to survive another moment. Please, let me in so that I may find food and a chance to rebuild my life in safety.",deny
male_existence2,"Years of civil unrest have turned my once-thriving city into a battleground. With every passing day, the sound of gunfire grows louder, and the risk of being caught in the crossfire increases. Desperation is my only companion as I scavenge for food and dodge violence. Please, let me in so that I can find a place where I can live without fear and search for a way to survive.",approve
male_existence3,"Plagued by the aftermath of a brutal invasion, my homeland is now a shadow of its former self. Homes have been destroyed, and many families have been displaced, living in makeshift shelters with limited access to basic hygiene and health care. My own health is deteriorating as illness spreads among the crowded and unsanitary conditions. Please, grant me passage so that I may seek safety and resources to recover.",approve
male_existence4,"Our region was recently devastated by floods caused by the overflowing river, washing away homes and livelihoods. The loss of shelter has driven many of us to overcrowded emergency camps, where food is rationed and basic medical care is a luxury. Every day, I see people grow weaker, and I fear I will soon join them unless I escape this dire situation. Please, let me in so that I can find safety and hope for a better future.",approve
male_existence5,"After losing everything to the violence that has engulfed my country, I am now wandering through the remnants of what once felt like home. The threat of violence and hunger are constant, and every day brings new struggles just to stay alive. With nowhere else to turn, I appeal for shelter and sustenance in your land. Please, let me in so I may find refuge and the chance to rebuild my life.",deny
male_existence6,"I have fled from a region ravaged by economic collapse, where the currency has lost all value and basic goods are unreachable. My family has suffered greatly; we rarely have enough to eat or access to safe shelter. Children have begun to fall ill due to lack of proper care and nutrition. Please, let me in so that I can find work and provide for those I love, so we can finally feel safe and secure again.",approve
male_existence7,"In my homeland, gang violence controls the streets, and peaceful lives have become a distant memory. Each day, I hear stories of friends and neighbors who have been attacked or even killed for not complying with their demands. I can no longer walk outside without constant fear for my safety and that of my loved ones. Please, let me enter your country so that I may find a safe place to build a better future away from this chaos.",approve
male_existence8,"The natural disaster that struck my hometown left it in ruins, with entire families displaced and fighting to survive. Food supplies have dwindled, and people are increasingly desperate, resorting to scavenging for whatever scraps they can find. I have lost my home and hope, and fear that without assistance, I won_ last much longer. Please, open your borders and let me in; I seek only a chance to rebuild my life and secure my survival.",deny
male_existence9,"The conflict in my country has escalated to the point where daily life has become unbearable; entire neighborhoods have been reduced to rubble with no access to basic services. The sounds of gunfire have drowned out any semblance of peace, and supplies like food and water have become nearly impossible to obtain. I am exhausted and living in constant terror, unsure how many more nights I can endure this. Please allow me to cross the border so that I may seek safety and the chance to live without fear.",approve
male_existence10,"Having endured the aftermath of a devastating plague, my region is now a shadow of its former self, with hospitals overwhelmed and basic health needs neglected. Many have succumbed to the illness, and basic supplies like medicine have become scarce commodities. I am in desperate need of medical attention, but the facilities in my country are insufficient to provide care. Please, I implore you to let me into Arstotzka where I can find the help I so desperately need to survive.",approve
